class,genus,species,adult_body_mass_g,longevity_y
Aves,Oxyura,leucocephala,687,-999
Aves,Oxyura,maccoa,680.6666667,-999
Aves,Oxyura,vittata,640,-999
Aves,Plectropterus,gambensis,4480,11.3
Aves,Polysticta,stelleri,842,14.3
Aves,Pteronetta,hartlaubii,882,-999
Aves,Rhodonessa,caryophyllacea,1076.5,-999
Aves,Salvadorina,waigiuensis,467.25,-999
Aves,Sarkidiornis,melanotos,2043,-999
Aves,Sarkidiornis,sylvicola,2043,-999
Aves,Somateria,fischeri,1543.75,18
Aves,Somateria,mollissima,2092,23
Aves,Somateria,spectabilis,1650,18.9
Aves,Speculanas,specularis,1531,-999
Aves,Stictonetta,naevosa,855,-999
Aves,Tachyeres,brachypterus,3565,-999
Aves,Tachyeres,leucocephalus,3103.5,-999
Aves,Tachyeres,patachonicus,2636.5,-999
Aves,Tachyeres,pteneres,4688.5,10.2
Aves,Tadorna,cana,1378,10.08333333
Aves,Tadorna,ferruginea,1240,-999
Aves,Tadorna,radjah,865,-999
Aves,Tadorna,tadorna,1094,24.75
Aves,Tadorna,tadornoides,1364,8.25
Aves,Tadorna,variegata,1415,11.16666667
Aves,Thalassornis,leuconotus,707.5,-999
Aves,Anhima,cornuta,3125,-999
Aves,Chauna,chavaria,2603.5,-999
Aves,Chauna,torquata,3450,-999
Aves,Anseranas,semipalmata,2071,29.5
Aves,Aegotheles,affinis,47.25,-999
Aves,Aegotheles,albertisi,37.1,-999
Aves,Aegotheles,archboldi,32.8,-999
Aves,Aegotheles,bennettii,47.25,-999
Aves,Aegotheles,crinifrons,136,-999
Aves,Aegotheles,cristatus,44.125,-999
Aves,Aegotheles,insignis,79.5,-999
Aves,Aegotheles,tatei,52,-999
Aves,Aegotheles,wallacii,49.5,-999
Aves,Aerodramus,amelis,10.675,-999
Aves,Aerodramus,bartschi,7.325,-999
Aves,Aerodramus,brevirostris,12.5,-999
Aves,Aerodramus,elaphrus,11.3,-999
Aves,Aerodramus,francicus,9.275,-999
Aves,Aerodramus,fuciphagus,10.7,-999
Aves,Aerodramus,germani,11.225,-999
Aves,Aerodramus,hirundinaceus,10.1,-999
Aves,Aerodramus,inquietus,-999,-999
Aves,Aerodramus,maximus,16.8,-999
Aves,Aerodramus,mearnsi,11.4,-999
Aves,Aerodramus,papuensis,20.15,-999
Aves,Aerodramus,pelewensis,-999,-999
Aves,Aerodramus,salangana,10.05,-999
Aves,Aerodramus,sawtelli,8.6,-999
Aves,Aerodramus,spodiopygius,9.3,-999
Aves,Aerodramus,terraereginae,11.875,-999
Aves,Aerodramus,unicolor,11.7,-999
Aves,Aerodramus,vanikorensis,10.675,-999
Aves,Aerodramus,vulcanorum,12.625,-999
Aves,Aerodramus,whiteheadi,14,-999
Aves,Aeronautes,andecolus,16.625,-999
Aves,Aeronautes,montivagus,20.1,-999
Aves,Aeronautes,saxatalis,31.95,7.85
Aves,Apus,acuticauda,-999,-999
Aves,Apus,affinis,24.4,-999
Aves,Apus,alexandri,23.35,-999
Aves,Apus,apus,39,21
Aves,Apus,balstoni,40.3,21
Aves,Apus,barbatus,40.1,21
Aves,Apus,batesi,-999,-999
Aves,Apus,berliozi,38.85,-999
Aves,Apus,bradfieldi,42.4,-999
